url,TFTID,armor,attack,attackData,attackMag,attackRange,attackSpeed,chessId,crit,displayName,illustrate,jobIds,jobs,life,lifeData,lifeMag,magic,name,originalImage,price,proStatus,raceIds,races,recEquip,skillDetail,skillImage,skillIntroduce,skillName,skillType,spellBlock,startMagic,synergies,title,...
5001,777,60,40,40/72/129.6,1.8,2,0.6,5001,25,斯维因,,7015,龙神,950,950/1710/3078,1.8,120,777.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Swain_1660816670-swain_p.png,7,无,7115,黯灵龙,"581,525,597",【斯维因】放出他的幼龙群，朝附近的敌人们派出8只幼龙，每只幼龙会对其目标造成85/120/600魔法伤害，然后回到【斯维因】那里并为他回复12%已损失生命值。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Swain_1660816670-swain_p.png,【斯维因】放出他的幼龙群，朝附近的敌人们派出8只幼龙，每只幼龙会对其目标造成85/120/600魔法伤害，然后回到【斯维因】那里并为他回复12%已损失生命值。,龙主法令,主动,60,60,,黯灵龙神,{}
3002,738,60,75,75/135/243,1.8,1,0.75,3002,25,石傲玉,,"7015,7011","龙神,秘术师",1650,1650/2970/5346,1.8,90,738.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/shi-oh-yu-jade-form.png,7,无,7104,玉龙,"529,595,543","【石傲玉】进入玉龙姿态，获得伤害减免、免疫控制并且她的下3次攻击会因为获得特殊效果的强化而造成基于其攻击力的伤害。
第1段攻击：造成基于其攻击力的物理伤害并将目标震到空中1.25秒。
第2段攻击：造成基于其攻击力的真实伤害。
第3段攻击：结束这个姿态，对一条线上的所有敌人造成基于其攻击力的物理伤害和1.25秒击飞效果。
基于攻击力百分比：250% / 300% / 1000%
伤害减免百分比：20% / 25% / 50%",https://game.gtimg.cn/images/lol/act/img/tft/champions/shi-oh-yu-jade-form.png,"【石傲玉】进入玉龙姿态，获得伤害减免、免疫控制并且她的下3次攻击会因为获得特殊效果的强化而造成基于其攻击力的伤害。
第1段攻击：造成基于其攻击力的物理伤害并将目标震到空中1.25秒。
第2段攻击：造成基于其攻击力的真实伤害。
第3段攻击：结束这个姿态，对一条线上的所有敌人造成基于其攻击力的物理伤害和1.25秒击飞效果。
基于攻击力百分比：250% / 300% / 1000%
伤害减免百分比：20% / 25% / 50%",玉龙形态,主动,60,30,,玉龙龙神,{}
3001,709,40,20,20/36/64.8,1.8,4,0.6,3001,25,迭嘉,,7015,龙神,900,900/1620/2916,1.8,100,709.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/daeja-windblast.png,7,无,7105,幻镜龙,"555,521,539","被动：【迭嘉】的攻击会被替换成3团弹幕，每团弹幕造成25/40/150额外魔法伤害并削减目标5魔法抗性。
主动：【迭嘉】朝敌人最密集的位置放出一道罡风轰击，造成250/335/1550魔法伤害。",https://game.gtimg.cn/images/lol/act/img/tft/champions/daeja-windblast.png,"被动：【迭嘉】的攻击会被替换成3团弹幕，每团弹幕造成25/40/150额外魔法伤害并削减目标5魔法抗性。
主动：【迭嘉】朝敌人最密集的位置放出一道罡风轰击，造成250/335/1550魔法伤害。",罡风轰击,主动,40,0,,幻镜龙神,{}
895,769,40,70,70/126/226.8,1.8,2,0.75,895,25,尼菈,,7001,刺客,800,800/1440/2592,1.8,60,769.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/nilah-slipstream.png,4,无,7116,碧波龙,"529,535,551",【尼菈】对她的目标甩出鞭刃，冲向目标并造成基于她200%攻击力的物理伤害和130 / 200 / 1000魔法伤害。如果这个技能对护盾造成了伤害，那么她会获得持续4秒的护盾，数额相当于她对护盾造成的80% / 100% / 300%伤害。如果她的目标已被击杀或仍然带有护盾值，那么她会立刻再次施放这个技能。,https://game.gtimg.cn/images/lol/act/img/tft/champions/nilah-slipstream.png,【尼菈】对她的目标甩出鞭刃，冲向目标并造成基于她200%攻击力的物理伤害和130 / 200 / 1000魔法伤害。如果这个技能对护盾造成了伤害，那么她会获得持续4秒的护盾，数额相当于她对护盾造成的80% / 100% / 300%伤害。如果她的目标已被击杀或仍然带有护盾值，那么她会立刻再次施放这个技能。,纵情逐流,主动,40,0,,不羁之悦,{}
876,723,40,40,40/72/129.6,1.8,1,0.7,876,25,莉莉娅,,"7005,7010","重骑兵,法师",750,750/1350/2430,1.8,50,723.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/lillia-watch-out.png,2,无,7108,屠龙勇士,"571,531,591",【莉莉娅】攻击目标周围的一个小区域，造成215/275/350魔法伤害（这个伤害由命中的所有敌人平摊），并对处在冲击中心的敌人造成190/240/320额外魔法伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/lillia-watch-out.png,【莉莉娅】攻击目标周围的一个小区域，造成215/275/350魔法伤害（这个伤害由命中的所有敌人平摊），并对处在冲击中心的敌人造成190/240/320额外魔法伤害。,小心！,主动,40,0,,含羞蓓蕾,{}
875,736,40,65,65/117/210.6,1.8,1,0.7,875,25,瑟提,,7006,神龙尊者,650,650/1170/2106,1.8,60,736.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/sett-knuckle-down.png,1,无,7106,怒翼龙,"521,539,595",在接下来的4秒里，【瑟提】获得50/60/80护甲和魔法抗性，并且每隔一次出拳就会造成他150/155/170%攻击力的额外物理伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/sett-knuckle-down.png,在接下来的4秒里，【瑟提】获得50/60/80护甲和魔法抗性，并且每隔一次出拳就会造成他150/155/170%攻击力的额外物理伤害。,屈人之威,主动,40,30,,腕豪,{}
777,757,40,45,45/81/145.8,1.8,1,0.85,777,25,永恩,,7014,狂刃战士,800,800/1440/2592,1.8,0,757.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/yone-way-of-the-hunter.png,2,无,7105,幻镜龙,"529,539,595",被动：永恩的普通攻击将造成90/140/200额外魔法伤害或他30/35/40% %攻击力的额外物理伤害，在两者之间交替。,https://game.gtimg.cn/images/lol/act/img/tft/champions/yone-way-of-the-hunter.png,被动：永恩的普通攻击将造成90/140/200额外魔法伤害或他30/35/40% %攻击力的额外物理伤害，在两者之间交替。,狩人之道,主动,40,0,,封魔剑魂,{}
526,773,45,50,50/90/162,1.8,1,0.5,526,25,芮尔,,7005,重骑兵,700,700/1260/2268,1.8,70,773.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/rell-iron-bond.png,2,无,7115,黯灵龙,"581,583,597",【芮尔】在她自己和她生命值百分比最低的友军之间形成一条灵链，对她和该友军之间的所有敌人造成150/225/400魔法伤害。她还会为自身和该友军提供芮尔当前的35/40/50%护甲和魔抗，持续4秒。,https://game.gtimg.cn/images/lol/act/img/tft/champions/rell-iron-bond.png,【芮尔】在她自己和她生命值百分比最低的友军之间形成一条灵链，对她和该友军之间的所有敌人造成150/225/400魔法伤害。她还会为自身和该友军提供芮尔当前的35/40/50%护甲和魔抗，持续4秒。,钢铁纽带,主动,45,0,,镕铁少女,{}
523,761,20,60,60/108/194.4,1.8,4,0.7,523,25,厄斐琉斯,,7004,强袭炮手,500,500/900/1620,1.8,130,761.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/aphelios-binding-eclipse.png,2,无,7115,黯灵龙,"521,539,577","【厄斐琉斯】在一个锥形范围内发射5/5/7支箭矢，每支箭矢造成基于他325% / 350% / 400%攻击力的物理伤害。敌人仅会受到一支箭矢的伤害。然后他会使命中的所有敌人晕眩1.25 / 1.5 / 1.75秒。
",https://game.gtimg.cn/images/lol/act/img/tft/champions/aphelios-binding-eclipse.png,"【厄斐琉斯】在一个锥形范围内发射5/5/7支箭矢，每支箭矢造成基于他325% / 350% / 400%攻击力的物理伤害。敌人仅会受到一支箭矢的伤害。然后他会使命中的所有敌人晕眩1.25 / 1.5 / 1.75秒。
",地霜暗蚀,主动,20,80,,残月之肃,{}
517,745,50,50,50/90/162,1.8,1,0.6,517,25,塞拉斯,,"7010,7003","法师,格斗家",800,800/1440/2592,1.8,140,745.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/tft7_sylas.png,3,无,7114,幽影龙,,【塞拉斯】旋转锁链，对命中的敌人造成110 / 170 / 240魔法伤害并施加破法效果，使敌人下一个技能的法力消耗提升35%。如果这个技能命中了至少1个已被破法的敌人，那么【塞拉斯】自身会获得持续6秒的365 / 415 / 475护盾值。,https://game.gtimg.cn/images/lol/act/img/tft/champions/sylas-petricite-burst.png,【塞拉斯】旋转锁链，对命中的敌人造成110 / 170 / 240魔法伤害并施加破法效果，使敌人下一个技能的法力消耗提升35%。如果这个技能命中了至少1个已被破法的敌人，那么【塞拉斯】自身会获得持续6秒的365 / 415 / 475护盾值。,破敌禁法,主动,50,70,,解脱者,{}
498,755,25,70,70/126/226.8,1.8,3,0.75,498,25,霞,,7013,迅捷射手,750,750/1350/2430,1.8,60,755.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/tft7_xayah.png,4,无,7106,怒翼龙,"521,539,595",在4秒里，【霞】在每次攻击时会发射一根羽刃到她的目标和2/2/4个附近敌人的身后。在这个持续时间结束后，【霞】会召回她的羽刃，每根羽刃会对击中的敌人们造成她18%攻击力+13/20/60的物理伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Xayah_1652943448.png,在4秒里，【霞】在每次攻击时会发射一根羽刃到她的目标和2/2/4个附近敌人的身后。在这个持续时间结束后，【霞】会召回她的羽刃，每根羽刃会对击中的敌人们造成她18%攻击力+13/20/60的物理伤害。,飞翔羽刃,主动,25,0,,逆羽,{}
497,772,50,45,45/81/145.8,1.8,2,0.75,497,25,洛,,"7008,7011","护卫,秘术师",800,800/1440/2592,1.8,75,772.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/rakan-disarming-diversion.png,3,无,7106,怒翼龙,"581,583,597",【洛】冲向他攻击距离内相距最远的敌人，使途经的所有敌人缴械1.5 / 1.75 / 2秒，并嘲讽他的目标。然后，在4秒的持续期间，【洛】自身获得200 / 375 / 550护盾值并且他每攻击一次都会为他提供额外的50/70/100护盾值。,https://game.gtimg.cn/images/lol/act/img/tft/champions/rakan-disarming-diversion.png,【洛】冲向他攻击距离内相距最远的敌人，使途经的所有敌人缴械1.5 / 1.75 / 2秒，并嘲讽他的目标。然后，在4秒的持续期间，【洛】自身获得200 / 375 / 550护盾值并且他每攻击一次都会为他提供额外的50/70/100护盾值。,缴械消遣,主动,50,15,,幻翎,{}
432,706,40,60,60/108/194.4,1.8,4,0.7,432,25,巴德,,"7002,7011","吟游诗人,秘术师",850,850/1530/2754,1.8,200,706.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/bard-tempered-fate.png,5,无,7103,冒险家,"571,531,591",【巴德】朝敌人最密集的位置放出魔法能量，使敌人们晕眩1.25/2/15秒并使他们在晕眩时受到的伤害提升15% / 20% / 9999%。如果【巴德】至少命中了1个敌人，他就会跳舞以示庆祝。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Bard_1652932258.png,【巴德】朝敌人最密集的位置放出魔法能量，使敌人们晕眩1.25/2/15秒并使他们在晕眩时受到的伤害提升15% / 20% / 9999%。如果【巴德】至少命中了1个敌人，他就会跳舞以示庆祝。,调和命运,主动,40,120,,星界游神,{}
246,732,30,45,45/81/145.8,1.8,1,0.75,246,25,奇亚娜,,7001,刺客,650,650/1170/2106,1.8,100,732.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/qiyana-elemental-blade.png,2,无,7112,风暴龙,"523,535,525",【奇亚娜】冲向能够用她的锋刃打击敌人们的最佳位置，对一条短直线上的敌人们造成225 / 300 / 450魔法伤害和1.5/1.75/2秒缴械效果。,https://game.gtimg.cn/images/lol/act/img/tft/champions/qiyana-elemental-blade.png,【奇亚娜】冲向能够用她的锋刃打击敌人们的最佳位置，对一条短直线上的敌人们造成225 / 300 / 450魔法伤害和1.5/1.75/2秒缴械效果。,元素之刃,主动,30,40,,元素女皇,{}
235,735,15,50,50/90/162,1.8,4,0.7,235,25,赛娜,,7004,强袭炮手,500,500/900/1620,1.8,90,735.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/senna-last-embrace.png,1,无,7106,怒翼龙,,【赛娜】朝相距最远的敌人放出黑雾。打击命中的第一个敌人并在一个小范围内造成他200/240/300%攻击力的物理伤害，并对命中的敌人造成300/450/600额外魔法伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/senna-last-embrace.png,【赛娜】朝相距最远的敌人放出黑雾。打击命中的第一个敌人并在一个小范围内造成他200/240/300%攻击力的物理伤害，并对命中的敌人造成300/450/600额外魔法伤害。,无尽厮守,主动,15,30,,涤魂圣枪,{}
221,782,20,70,70/126/226.8,1.8,4,0.8,221,25,泽丽,,7004,强袭炮手,600,600/1080/1944,1.8,70,782.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/zeri-watershock-laser.png,3,无,7116,碧波龙,"539,525,541",【泽丽】发射一道水流脉冲给3格内相距最近的敌人，或者最靠近棋盘中心的敌人，使其暂时晕眩0.75秒。在脉冲爆炸时，它造成基于泽丽110/115/120%攻击力的伤害并在目标身后生成一道激光，激光会对命中的所有敌人造成225/325/475魔法伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/zeri-watershock-laser.png,【泽丽】发射一道水流脉冲给3格内相距最近的敌人，或者最靠近棋盘中心的敌人，使其暂时晕眩0.75秒。在脉冲爆炸时，它造成基于泽丽110/115/120%攻击力的伤害并在目标身后生成一道激光，激光会对命中的所有敌人造成225/325/475魔法伤害。,水冲激光,主动,20,20,,祖安花火,{}
201,707,60,40,40/72/129.6,1.8,1,0.6,201,25,布隆,,7008,护卫,800,800/1440/2592,1.8,60,707.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/braum-unbreakable.png,2,无,7108,屠龙勇士,"581,583,597",布隆举起他的盾牌4秒，使来自该方向上的伤害减少70/75/85%。,https://game.gtimg.cn/images/lol/act/img/tft/champions/braum-unbreakable.png,布隆举起他的盾牌4秒，使来自该方向上的伤害减少70/75/85%。,坚不可摧,主动,60,30,,弗雷尔卓德之心,{}
163,778,15,30,30/54/97.2,1.8,4,0.7,163,25,塔莉垭,,7010,法师,550,550/990/1782,1.8,60,778.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/taliyah-flowing-volley.png,1,无,7116,碧波龙,"535,565,525",【塔莉垭】朝她的目标扔出3颗石头，每颗对命中的第一个敌人造成145/215/325伤害。,https://game.gtimg.cn/images/lol/act/img/tft/champions/taliyah-flowing-volley.png,【塔莉垭】朝她的目标扔出3颗石头，每颗对命中的第一个敌人造成145/215/325伤害。,流水齐射,主动,15,0,,岩雀,{}
157,756,50,85,85/153/275.4,1.8,1,1,157,25,亚索,,"7006,7014","神龙尊者,狂刃战士",1100,1100/1980/3564,1.8,25,756.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/yasuo-sweeping-blade.png,5,无,7105,幻镜龙,"529,535,543","亚索自身获得持续2秒的180/240/2500护盾值，然后冲刺并穿过他的目标，斩击附近的敌人们造成他攻击力150/180/3000%的物理伤害。
每第三次施放时，他的斩击造成250%伤害，命中一个更大的区域，并将敌人击飞1.5秒。如果【亚索】命中了敌方仅存的最后一名敌人，那么他会反复斩击该敌人至该敌人阵亡为止。",https://game.gtimg.cn/images/lol/act/img/tft/champions/yasuo-sweeping-blade.png,"亚索自身获得持续2秒的180/240/2500护盾值，然后冲刺并穿过他的目标，斩击附近的敌人们造成他攻击力150/180/3000%的物理伤害。
每第三次施放时，他的斩击造成250%伤害，命中一个更大的区域，并将敌人击飞1.5秒。如果【亚索】命中了敌方仅存的最后一名敌人，那么他会反复斩击该敌人至该敌人阵亡为止。",踏前斩,主动,50,0,,疾风剑豪,{}
154,781,45,60,60/108/194.4,1.8,1,0.6,154,25,扎克,,7008,护卫,800,800/1440/2592,1.8,60,781.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/Zac_1660872248-zacw.png,2,无,7116,碧波龙,"581,583,597",【扎克】朝着2格内的敌人们进行喷溅，造成相当于各目标5/6/7%最大生命值的魔法伤害并治疗自身220/250/300生命值。,https://game.gtimg.cn/images/lol/act/img/tft/champions/Zac_1660872248-zacw.png,【扎克】朝着2格内的敌人们进行喷溅，造成相当于各目标5/6/7%最大生命值的魔法伤害并治疗自身220/250/300生命值。,不稳定涌流,主动,45,0,,生化魔人,{}
150,713,40,40,40/72/129.6,1.8,2,0.7,150,25,纳尔,,7012,换形师,700,700/1260/2268,1.8,70,713.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/gnar-mega-gnar.png,2,无,7104,玉龙,"581,583,597",【纳尔】变形成【巨型纳尔】，跳向他的目标然后将附近的敌人们击飞1秒。【纳尔】还会获得60/90/150攻击力和40/60/90护甲，但攻击距离降为1。,https://game.gtimg.cn/images/lol/act/img/tft/champions/gnar-mega-gnar.png,【纳尔】变形成【巨型纳尔】，跳向他的目标然后将附近的敌人们击飞1秒。【纳尔】还会获得60/90/150攻击力和40/60/90护甲，但攻击距离降为1。,巨型纳尔,主动,40,0,,迷失之牙,{}
147,775,30,50,50/90/162,1.8,4,0.7,147,25,萨勒芬妮,,"7007,7011","魔导师,秘术师",750,750/1350/2430,1.8,175,775.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/seraphine-serenade-of-the-seas.png,3,无,7116,碧波龙,"571,531,591",【萨勒芬妮】咏唱海之小夜曲，为2格内的所有友军提供160/220/300护盾值和20/35/70攻击附带魔法伤害，持续4秒。,https://game.gtimg.cn/images/lol/act/img/tft/champions/seraphine-serenade-of-the-seas.png,【萨勒芬妮】咏唱海之小夜曲，为2格内的所有友军提供160/220/300护盾值和20/35/70攻击附带魔法伤害，持续4秒。,海之小夜曲,主动,30,100,,星籁歌姬,{}
145,765,25,35,35/63/113.4,1.8,4,0.9,145,25,卡莎,,7006,神龙尊者,550,550/990/1782,1.8,45,765.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/kaisa-tidal-burst.png,2,无,7116,碧波龙,"567,535,565",【卡莎】发射4颗飞弹，这些飞弹会均摊给她的目标和她攻击距离内的至多2名其它目标，并且每颗造成40/60/85魔法伤害。每施放一次技能都会使飞弹数量提升2，至多为12。 ,https://game.gtimg.cn/images/lol/act/img/tft/champions/kaisa-tidal-burst.png,【卡莎】发射4颗飞弹，这些飞弹会均摊给她的目标和她攻击距离内的至多2名其它目标，并且每颗造成40/60/85魔法伤害。每施放一次技能都会使飞弹数量提升2，至多为12。 ,潮汐暴雨,主动,25,0,,虚空之女,{}
143,784,20,50,50/90/162,1.8,4,0.65,143,25,婕拉,,7007,魔导师,600,600/1080/1944,1.8,120,784.png,https://game.gtimg.cn/images/lol/act/img/tft/original-image/zyra-grasping-spines.png,2,无,7114,幽影龙,"535,565,525",【婕拉】在敌人最多的一排召唤藤蔓，造成225/325/550魔法伤害和1/1.25/1.5 秒晕眩。,https://game.gtimg.cn/images/lol/act/img/tft/champions/zyra-grasping-spines.png,【婕拉】在敌人最多的一排召唤藤蔓，造成225/325/550魔法伤害和1/1.25/1.5 秒晕眩。,缠绕棘刺,主动,20,60,,荆棘之兴,{}
