id,data
2274,204.3198
2275,209.1706
2276,201.0222
2277,191.9527
2278,201.7832
2279,195.6289
2280,190.9924
2281,191.127
2282,187.2406
2283,182.6772
2284,179.1484
2285,182.9273
2286,172.5389
2287,159.0314
2288,191.3304
2289,195.9071
2290,189.3195
2291,188.1951
2292,187.2681
2293,180.302
2294,184.2018
2295,180.3919
2296,178.0969
2297,167.098
2298,158.4291
2299,170.108
2300,171.1702
2301,169.6313
2302,171.368
2303,174.3438
2304,170.2134
2305,169.5942
2306,180.3607
2307,182.2458
2308,178.6859
2309,179.5412
2310,170.4137
2311,158.7606
2312,137.1105
2313,113.6499
2314,128.9478
2315,149.4859
2316,169.2494
2317,172.9394
2318,178.1136
2319,175.27
2320,183.7723
2321,182.2379
2322,182.1428
2323,182.7326
